Organization	KG id	KG name	KG SPARQL endpoint	RDF dump link	Ontology	Triples	F1-M Unique and persistent ID	F1-D URIs dereferenceability	F2a-M - Metadata availability via standard primary sources	F2b-M Metadata availability for all the attributes covered in the FAIR score computation	F3-M Data referrable via a DOI	F4-M Metadata registered in a searchable engine	F score	A1-D Working access point(s)	A1-M Metadata availability via working primary sources	A1.2 Authentication & HTTPS support	A2-M Registered in search engines	A score	I1-D Standard & open representation format	I1-M Metadata are described with VoID/DCAT predicates	I2 Use of FAIR vocabularies	I3-D Degree of connection	I score	R1.1 Machine- or human-readable license retrievable via any primary source	R1.2 Publisher information, such as authors, contributors, publishers, and sources	R1.3-D Data organized in a standardized way	R1.3-M Metadata are described with VoID/DCAT predicates	R score	FAIR score
Library	data-bnf-fr	data.bnf.fr - Bibliothèque nationale de France	http://data.bnf.fr/sparql	[]	False	409712948	1	0.0	1	0.56	0	1	0.59	1.0	1	1.0	1	1.0	1	0	0.0	1	0.5	0	1	1	0	0.5	2.59
Museum	data-hnm-hu	data-hnm-hu - Hungarian National Museum Datasets	http://data.hnm.hu/sparql	[]	False	1993963	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
Archive	data-incubator-climb	Climb Dataincubator	http://api.talis.com/stores/climb/services/sparql	[]	False	174120	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	0	1	1	1	0.75	2.57
Archive	data-incubator-discogs	Discogs in RDF		[]	False	191968935	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
None	data-incubator-moseley	Moseley Folk Festival Data	http://api.talis.com/stores/moseley/services/sparql	[]	False	1268	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	1	0.0	1	0.75	1	1	1	1	1.0	3.11
Archive	data-incubator-musicbrainz	Data Incubator: MusicBrainz	http://api.talis.com/stores/musicbrainz/services/sparql	[]	False	178775789	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
Museum	data-szepmuveszeti-hu	data-szepmuveszeti-hu	http://data.szepmuveszeti.hu/sparql	[]	False	334699	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
Library, Museum	datos-artium-org	datos-artium-org	http://datos.artium.org/sparql	[]	False	4436657	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
Library	datos-bne-es	datos.bne.es	http://datos.bne.es/sparql	[]	False	58053215	1	0.0	1	0.67	0	1	0.61	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.36
Archive	dbtropes	DBTropes		[]	False	8000000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Archive	dbtune-artists-last-fm	DBTune.org Artists: Last.fm		[]	False	250000000	1	0.0	1	0.22	0	1	0.54	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.04
Archive	dbtune-audioscrobbler	DBTune.org AudioScrobbler RDF Service		[]	False	600000000	1	0.0	1	0.22	0	1	0.54	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.04
Archive	dbtune-classical	DBTune.org/classical	http://dbtune.org/classical/sparql/	[]	False	390845	1	0.0	1	0.44	0	1	0.57	0.5	1	0.0	1	0.62	1	0	0.0	1	0.5	0	1	1	0	0.5	2.19
Archive	dbtune-john-peel-sessions	DBTune.org John Peel sessions RDF server	http://dbtune.org/bbc/peel/sparql/	[]	False	277000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.34
Archive	dbtune-magnatune	DBTune.org Magnatune RDF server	http://dbtune.org/magnatune/sparql/	[]	False	322000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.34
Archive	dbtune-musicbrainz	DBTune.org Musicbrainz D2R Server	http://dbtune.org/musicbrainz/sparql	[]	False	36000000	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.07
Archive	dbtune-myspace	DBTune.org MySpace RDF Service	http://dbtune.org/myspace/sparql/	[]	False	660000000	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.07
Library	deutsche-biographie	Deutsche Biographie	https://data.deutsche-biographie.de/about/#sparql	[]	False	100000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.34
Library	deutsche-nationalbibliografie-dnb	Deutsche Nationalbibliografie (DNB)		['https://data.dnb.de/opendata/dnb-all_lds.rdf.gz', 'https://data.dnb.de/opendata/dnb-all_lds.ttl.gz', 'https://data.dnb.de/opendata/dnb-all_lds.jsonld.gz', 'https://data.dnb.de/opendata/dnb-all_lds.nt.gz', 'https://data.dnb.de/opendata/dnb-all_lds.hdt.gz']	False	521028069	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Library, Museum, Gallery	DigitalNZ	DigitalNZ		[]	False	0	0	0.0	0	0.22	0	0	0.04	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	1	1	1	0	0.75	1.04
Library	dm2e	DM2E		[]	False	0	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
Library	dnb-gemeinsame-normdatei	Gemeinsame Normdatei (GND)		['https://data.dnb.de/opendata/authorities-gnd_lds.nt.gz', 'https://data.dnb.de/opendata/authorities-gnd_lds.hdt.gz']	False	165639860	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Museum	dutch-ships-and-sailors	Dutch Ships and Sailors	https://dutchshipsandsailors.nl/?page_id=50	[]	False	30801840	1	0.0	1	0.56	0	1	0.59	0.5	1	0.0	1	0.62	1	0	0.0	1	0.5	1	1	1	0	0.75	2.46
Library	ecco-tcp-linked-data	ECCO-TCP Eighteenth Century Texts Linked Data	http://api.kasabi.com/dataset/ecco-tcp-eighteenth-century-collections-online-texts/apis/sparql	[]	False	35215	1	0.0	1	0.56	0	1	0.59	0.5	1	0.0	1	0.62	1	1	0.0	1	0.75	1	1	1	1	1.0	2.96
None	eclap	ECLAP	http://www.eclap.eu/sparql	[]	False	2650000	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.34
None	english-heritage-periods-list	English Heritage Periods List	http://heritagedata.org/live/sparql	[]	False	557	1	0.0	1	0.78	0	1	0.63	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.38
Archive	enslaved.org	Enslaved.org		['https://manta.matrix.msu.edu/msumatrix/public/exports/wikibase/2bde7b5b/latest.wikibase.dump.rdf.gz']	False	55729113	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	0	0.25	1	1	1	0	0.75	2.32
Archive	Epigraphic-Database-Heidelberg	Epigraphic Database Heidelberg		[]	False	0	1	0.0	0	0.33	1	1	0.56	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.81
None	europeana-lod-v1	Europeana Linked Open Data V1.0		[]	False	117000000	1	0.0	1	0.78	0	1	0.63	1.0	1	0.0	1	0.75	1	1	0.79	1	0.95	1	1	1	1	1.0	3.33
None	europeana-sparql	Europeana SPARQL	http://europeana.ontotext.com/sparql	[]	False	3798446742	1	0.0	1	0.89	0	1	0.65	1.0	1	0.0	1	0.75	1	1	0.79	1	0.95	1	1	1	1	1.0	3.35
Archive	event-media	EventMedia	http://eventmedia.eurecom.fr/sparql	[]	False	36274454	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
None	eventkg	EventKG		[]	False	200000000	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
Library	FI-Library	Finnish Public Libraries	https://data.nationallibrary.fi/bib/sparql	[]	False	0	0	1.0	1	0.33	0	0	0.39	1.0	0	1.0	0	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	1.89
Museum	FI-Museum	Museum Finland	http://ldf.fi/mufi/sparql	[]	False	0	0	0.0	1	0.33	0	0	0.22	1.0	0	1.0	0	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	1.72
Library, Archive	Fondazione-Zeri	Fondazione Zeri		[]	False	0	0	0.0	0	0.22	0	0	0.04	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	1	1	1	0	0.75	1.04
None	FOod	FOOD: FOod in Open Data		[]	True	0	0	0.0	0	0.22	0	0	0.04	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	1	1	1	0	0.75	1.04
